div_yield,operation_period,payment_date,per_div_yield,per_gain,per_price_diff,price,stock,type,x_date
0.1,01 Jan 2023 - 31 Dec 2023,20 May 2024,5.43,5.43,,1.84,SIRI,Cash Dividend,15 Mar 2024
0.1,01 Jan 2023 - 30 Jun 2023,11 Sep 2023,5.0,10.31,5.32,2.0,SIRI,Cash Dividend,28 Aug 2023
0.11,01 Jan 2022 - 31 Dec 2022,17 May 2023,6.4,-2.2,-8.6,1.72,SIRI,Cash Dividend,16 Mar 2023
0.04,01 Jan 2022 - 30 Jun 2022,13 Sep 2022,3.63,0.95,-2.68,1.1,SIRI,Cash Dividend,29 Aug 2022
0.06,01 Jan 2021 - 31 Dec 2021,20 May 2022,4.99,4.99,,1.2,SIRI,Cash Dividend,15 Mar 2022
0.04,01 Jan 2020 - 31 Dec 2020,20 May 2021,4.35,7.76,3.41,0.92,SIRI,Cash Dividend,15 Mar 2021
0.06,01 Jan 2019 - 31 Dec 2019,12 May 2020,9.13,-14.4,-23.53,0.66,SIRI,Cash Dividend,13 Mar 2020
0.02,-,10 Sep 2019,1.44,0.72,-0.72,1.39,SIRI,Cash Dividend,27 Aug 2019
0.08,01 Jan 2018 - 31 Dec 2018,14 May 2019,5.99,-0.39,-6.38,1.33,SIRI,Cash Dividend,14 Mar 2019
0.868,-,03 May 2024,5.39,5.39,,16.1,KTB,Cash Dividend,17 Apr 2024
0.682,-,03 May 2023,4.11,4.71,0.6,16.6,KTB,Cash Dividend,18 Apr 2023
0.418,-,06 May 2022,3.21,0.25,-2.96,13.02,KTB,Cash Dividend,20 Apr 2022
0.275,-,07 May 2021,2.39,1.53,-0.85,11.53,KTB,Cash Dividend,21 Apr 2021
0.753,-,23 Apr 2020,6.65,6.65,,11.33,KTB,Cash Dividend,08 Apr 2020
0.718,-,10 May 2019,3.84,1.76,-2.08,18.68,KTB,Cash Dividend,23 Apr 2019
0.234214,01 Jan 2023 - 31 Dec 2023,24 May 2024,8.81,8.81,,2.66,SENA,Cash Dividend,10 May 2024
0.078368,01 Jan 2022 - 31 Dec 2022,-,2.24,1.67,-0.58,3.49,SENA,Cash Dividend,11 May 2023
0.12692,01 Jan 2022 - 30 Jun 2022,09 Sep 2022,3.11,0.21,-2.9,4.08,SENA,Cash Dividend,25 Aug 2022
0.211477,01 Jan 2021 - 31 Dec 2021,-,5.16,-3.44,-8.6,4.1,SENA,Cash Dividend,11 May 2022
0.185035,01 Jul 2020 - 31 Dec 2020,-,4.14,-0.21,-4.35,4.47,SENA,Cash Dividend,11 May 2021
0.129031,01 Jan 2020 - 30 Jun 2020,11 Sep 2020,4.38,1.7,-2.68,2.94,SENA,Cash Dividend,27 Aug 2020
0.171637,01 Jul 2019 - 31 Dec 2019,-,8.21,2.7,-5.5,2.09,SENA,Cash Dividend,11 May 2020
0.078426,01 Jan 2019 - 30 Jun 2019,13 Sep 2019,2.38,-0.61,-2.99,3.29,SENA,Cash Dividend,29 Aug 2019
0.160553,01 Jan 2018 - 31 Dec 2018,-,4.44,2.24,-2.2,3.61,SENA,Cash Dividend,07 May 2019
6.0,-,10 May 2024,4.82,4.82,,124.5,KBANK,Cash Dividend,22 Apr 2024
0.5,-,29 Sep 2023,0.39,-1.52,-1.91,129.54,KBANK,Cash Dividend,13 Sep 2023
3.5,-,03 May 2023,2.6,5.69,3.09,134.58,KBANK,Cash Dividend,17 Apr 2023
0.5,-,23 Sep 2022,0.34,-3.25,-3.58,149.2,KBANK,Cash Dividend,07 Sep 2022
2.75,-,06 May 2022,1.79,-4.09,-5.88,153.23,KBANK,Cash Dividend,18 Apr 2022
0.5,-,23 Sep 2021,0.42,-1.23,-1.65,120.47,KBANK,Cash Dividend,08 Sep 2021
2.5,-,07 May 2021,1.77,-0.33,-2.1,141.13,KBANK,Cash Dividend,20 Apr 2021
4.5,-,30 Apr 2020,4.58,15.06,10.48,98.29,KBANK,Cash Dividend,09 Apr 2020
0.5,-,27 Sep 2019,0.29,8.63,8.33,170.37,KBANK,Cash Dividend,11 Sep 2019
3.5,-,30 Apr 2019,1.82,2.35,0.53,192.04,KBANK,Cash Dividend,11 Apr 2019
7.84,01 Jan 2023 - 31 Dec 2023,03 May 2024,6.94,6.94,,113.0,SCB,Cash Dividend,17 Apr 2024
2.5,-,29 Sep 2023,2.16,0.02,-2.15,115.53,SCB,Cash Dividend,13 Sep 2023
5.19,01 Jan 2022 - 31 Dec 2022,03 May 2023,5.05,3.59,-1.46,102.87,SCB,Cash Dividend,17 Apr 2023
1.5,01 Jan 2022 - 30 Sep 2022,03 Nov 2022,1.44,0.48,-0.96,104.39,SCB,Cash Dividend,12 Oct 2022
0.19,01 Jan 2023 - 31 Dec 2023,20 May 2024,3.96,3.96,,4.8,TACC,Cash Dividend,07 May 2024
0.17,01 Jan 2023 - 30 Jun 2023,08 Sep 2023,3.44,2.06,-1.39,4.94,TACC,Cash Dividend,24 Aug 2023
0.19,01 Jan 2022 - 31 Dec 2022,23 May 2023,3.39,1.65,-1.74,5.6,TACC,Cash Dividend,08 May 2023
0.17,01 Jan 2022 - 30 Jun 2022,09 Sep 2022,2.43,1.73,-0.7,6.99,TACC,Cash Dividend,25 Aug 2022
0.18,01 Jan 2021 - 31 Dec 2021,19 May 2022,2.4,2.4,,7.49,TACC,Cash Dividend,28 Apr 2022
0.15,01 Jan 2021 - 30 Jun 2021,10 Sep 2021,2.06,7.06,5.0,7.29,TACC,Cash Dividend,26 Aug 2021
0.17,01 Jan 2020 - 31 Dec 2020,13 May 2021,2.32,-2.2,-4.52,7.34,TACC,Cash Dividend,28 Apr 2021
0.13,01 Jan 2020 - 30 Jun 2020,03 Sep 2020,2.24,-1.86,-4.1,5.8,TACC,Cash Dividend,19 Aug 2020
0.14,01 Jan 2019 - 31 Dec 2019,24 Apr 2020,4.28,12.83,8.55,3.27,TACC,Cash Dividend,09 Apr 2020
0.1,01 Jan 2019 - 30 Jun 2019,10 Sep 2019,2.15,-1.15,-3.31,4.64,TACC,Cash Dividend,26 Aug 2019
0.09,01 Jan 2018 - 31 Dec 2018,15 May 2019,2.25,-2.47,-4.72,4.01,TACC,Cash Dividend,29 Apr 2019
